Ref,Val,Package,PosX,PosY,Rot,Side
"R401","10k","R0603",-88.962000,97.313000,90.000000,bottom
"R402","10k","R0603",-90.504000,97.313000,90.000000,bottom
"R403","10k","R0603",-86.605000,97.313000,90.000000,bottom
"R404","10k","R0603",-84.808000,97.313000,90.000000,bottom
"R405","10k","R0603",-83.401000,97.313000,90.000000,bottom
"R406","10k","R0603",-82.062000,97.161000,90.000000,bottom
"R901","22","R0603",-119.900000,79.400000,180.000000,bottom
"R902","22","R0603",-119.810000,33.490000,180.000000,bottom
"R903","22","R0603",-109.150000,33.590000,180.000000,bottom
"R904","22","R0603",-119.688279,64.353000,180.000000,bottom
"R905","22","R0603",-98.523000,63.998000,180.000000,bottom
"R906","22","R0603",-120.021721,48.537000,180.000000,bottom
"R911","22","R0603",-109.361721,48.634928,180.000000,bottom
"R912","22","R0603",-109.240000,79.500000,180.000000,bottom
"R913","22","R0603",-98.714000,32.881000,180.000000,bottom
"R914","22","R0603",-98.880000,79.400000,180.000000,bottom
"R915","22","R0603",-99.013000,48.190000,180.000000,bottom
"R916","22","R0603",-88.150000,79.380000,180.000000,bottom
"C1","10n","C0603",3.887000,41.972001,90.000000,top
"C2","100n","C0603",14.625000,41.750007,0.000000,top
"C3","10n","C0603",11.575000,41.404000,90.000000,top
"C4","100n","C0603",13.544000,51.323000,180.000000,top
"C5","1u","C0603",13.477000,49.237994,180.000000,top
"D1","NUP2105L","SOT-23",14.645000,45.111500,90.000000,top
"D2","B5819W","SOD-123",37.805000,23.907000,-90.000000,top
"D3","B5819W","SOD-123",74.679000,44.981000,0.000000,top
"D4","B5819W","SOD-123",75.842000,28.641000,0.000000,top
"D5","B5819W","SOD-123",75.423000,34.749000,0.000000,top
"D9","1N4148WS","SOD-323",62.833000,53.611452,180.000000,top
"D10","1N4148WS","SOD-323",62.695000,55.694452,180.000000,top
"D11","LED-GREEN-0805","LED-0805",62.209905,51.311453,0.000000,top
"D12","LED-GREEN-0805","LED-0805",57.559095,55.694452,0.000000,top
"D13","LED-GREEN-0805","LED-0805",19.605000,71.316000,0.000000,top
"D14","LED-GREEN-0805","LED-0805",18.394095,74.801000,0.000000,top
"F10","Fuse-Pad-Pad","PAD-1206-PAD",71.749000,27.549010,90.000000,top
"J4","USB_B_Mini","USB-MINI-B-VERTICAL",83.662000,101.017000,180.000000,top
"L1","470R@100MHz","L_0603_1608Metric",9.160000,41.483000,90.000000,top
"L2","470R@100MHz","L_0603_1608Metric",6.181000,41.785000,90.000000,top
"M1","Module-power_12and5V-0.1","power_12and5V",67.739746,45.597402,180.000000,top
"M3","Module-knock-0.2","knock",35.940000,23.561000,90.000000,top
"M4","Module-ign8-0.2","ign8",91.670981,87.278998,90.000000,top
"M5","Module-wbo-0.5","wbo",4.879000,38.357000,-90.000000,top
"M6","Module-can-0.1","can",9.819337,72.638502,90.000000,top
"M7","Module-ign8-0.2","ign8",74.795000,59.912999,0.000000,top
"M8","Module-vr-max9924-0.1","vr-max9924",31.229216,23.270242,90.000000,top
"M9","Module-mega-mcu144-0.7","mega-mcu144",26.814999,60.614998,0.000000,top
"Q9","ISL9V3040D3ST","TO-252-2",84.194000,28.161000,180.000000,top
"Q11","ISL9V3040D3ST","TO-252-2",83.527000,45.282000,180.000000,top
"Q12","ISL9V3040D3ST","TO-252-2",16.500000,6.953000,180.000000,top
"Q14","ISL9V3040D3ST","TO-252-2",84.194000,36.356000,180.000000,top
"Q901","ISL9V3040D3ST","TO-252-2",119.960000,74.420000,-90.000000,top
"Q902","ISL9V3040D3ST","TO-252-2",119.870000,28.510000,-90.000000,top
"Q903","ISL9V3040D3ST","TO-252-2",109.210000,28.610000,-90.000000,top
"Q904","ISL9V3040D3ST","TO-252-2",119.748279,59.373000,-90.000000,top
"Q905","ISL9V3040D3ST","TO-252-2",98.728279,59.373000,-90.000000,top
"Q906","ISL9V3040D3ST","TO-252-2",120.081721,43.557000,-90.000000,top
"Q911","ISL9V3040D3ST","TO-252-2",109.421721,43.657000,-90.000000,top
"Q912","ISL9V3040D3ST","TO-252-2",109.300000,74.520000,-90.000000,top
"Q913","ISL9V3040D3ST","TO-252-2",98.850000,28.510000,-90.000000,top
"Q914","ISL9V3040D3ST","TO-252-2",98.940000,74.420000,-90.000000,top
"Q915","ISL9V3040D3ST","TO-252-2",99.061721,43.557000,-90.000000,top
"Q916","ISL9V3040D3ST","TO-252-2",88.210000,74.400000,-90.000000,top
"R9","22","R0603",22.205000,6.956000,90.000000,top
"R11","22","R0603",89.439072,36.348000,90.000000,top
"R12","22","R0603",89.496072,28.167000,90.000000,top
"R13","5.1k","R0603",60.797000,49.244452,0.000000,top
"R14","5.1k","R0603",57.374000,57.899524,180.000000,top
"R15","1.6k","R0603",14.158000,72.944072,180.000000,top
"R16","750","R0603",14.108000,75.101000,180.000000,top
"R17","0","R0603",90.370000,100.775000,0.000000,top
"R19","22","R0603",88.620072,45.249000,90.000000,top
"U1","molex_48pin_MRE","Molex_48_MRE",78.921599,7.161999,180.000000,top
"U2","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",8.047000,47.236000,180.000000,top
